"name","pos","team","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"Bryce Young","QB","CAR",39.7,24.8,230.1,1.4,0.8,3.3,19.6,0.2,0,0,0,16.4,16.4,""
"Kyler Murray","QB","ARI",30.3,19.3,186.8,1.2,0.9,4.8,30.5,0.5,0,0,0,16.5,16.5," -- Under PP Pass Yards of 230.5"
"Jordan Love","QB","GB",29.7,18.9,216.4,1.5,0.5,2.6,11.9,0.1,0,0,0,15.4,15.4,""
"Spencer Rattler","QB","NO",30.5,18.9,182.3,0.8,1.1,2.5,12.9,0.2,0,0,0,10.8,10.8,""
"Caleb Williams","QB","CHI",35.4,22.6,212,1.3,0.9,7.5,31.3,0.1,0,0,0,15.6,15.6,""
"Jared Goff","QB","DET",38.9,25.4,274.7,1.9,0.8,1.7,5.3,0.1,0,0,0,18.1,18.1,""
"Patrick Mahomes","QB","KC",33.8,21.8,215.4,1.4,0.6,2.6,13.8,0.1,0,0,0,15,15,""
"C.J. Stroud","QB","HOU",30.3,19.8,202.8,1,0.7,3.3,12.7,0.1,0,0,0,12.6,12.6,""
"Anthony Richardson","QB","IND",30.6,14.4,193.6,1,1.1,8.2,43.9,0.6,0,0,0,17.5,17.5,""
"Mason Rudolph","QB","TEN",36.8,23.4,241.6,1.3,0.9,5.1,18.5,0.2,0,0,0,16.1,16.1,""
"Tua Tagovailoa","QB","MIA",37.4,25.1,258.3,1.6,0.8,2.3,6.3,0.1,0,0,0,16.4,16.4,""
"Brock Purdy","QB","SF",31.9,20.7,218.4,1.4,0.8,4.3,22.5,0.2,0,0,0,16.2,16.2," -- Under UD Pass Yards of 246.5 -- Under PP Pass Yards of 247.5"
"Josh Allen","QB","BUF",36.4,23.7,270.1,1.6,0.7,8.5,44.3,0.8,0,0,0,25,25,""
"Drake Maye","QB","NE",32.6,19.5,190.8,0.7,0.9,7.6,36.8,0.1,0,0,0,12.9,12.9," -- Under UD Pass Yards of 220.5 -- Under PP Pass Yards of 220.5"
"Geno Smith","QB","SEA",34.9,22.6,242,0.9,0.9,2.1,9.9,0.1,0,0,0,13.1,13.1,""
"Sam Darnold","QB","MIN",33.3,21.4,253.1,1.8,0.9,4.6,14.6,0.2,0,0,0,18.2,18.2,""
"Lamar Jackson","QB","BAL",36.5,22.4,245.1,1.7,0.8,9.6,51.7,0.2,0,0,0,21.4,21.4,""
"Russell Wilson","QB","PIT",32.2,19.5,247.1,1,0.4,1.7,6.1,0.1,0,0,0,14.3,14.3," -- Over UD Pass Yards of 213.5"
"Kirk Cousins","QB","ATL",34.8,22.3,239.9,1.6,0.6,0.4,2.3,0.1,0,0,0,15.6,15.6,""
"Drew Lock","QB","NYG",32.7,20.2,194.7,0.9,0.9,2.6,20.7,0.1,0,0,0,12.3,12.3,""
"Joe Burrow","QB","CIN",34.3,22.8,241.3,1.7,0.8,3.4,12.2,0.1,0,0,0,16.7,16.7,""
"Dorian Thompson-Robinson","QB","CLE",31.2,19.6,163.4,1,1.2,2.7,15.4,0.1,0,0,0,10.3,10.3,""
"Aidan O'Connell","QB","LV",41.7,26.5,284.9,1.3,0.7,0.4,2.1,0.1,0,0,0,16,16,""
"Jayden Daniels","QB","WAS",32,20,207.1,1.2,0.5,8.8,40.4,0.1,0,0,0,16.7,16.7,""
"Jalen Hurts","QB","PHI",32.4,20.2,224.5,1,0.8,8.8,37.1,0.9,0,0,0,20.5,20.5,""
"Justin Herbert","QB","LAC",38.3,24.1,247.2,1.4,0.9,4.3,18.5,0.3,0,0,0,17.3,17.3," -- Over PP Fantasy Score of 15"
"Bo Nix","QB","DEN",33.2,20.4,205.7,1.4,0.8,5.3,25.8,0.2,0,0,0,16,16," -- Under UD Pass Yards of 223.5 -- Under PP Pass Yards of 225.5 -- Under UD Pass Plus Rush Yards of 247.5 -- Under PP Pass Plus Rush Yards of 245.5"
"Mac Jones","QB","JAC",28.8,18.4,180.3,1.2,0.7,3.6,13.6,0.2,0,0,0,13.2,13.2," -- Under UD Pass Yards of 214.5 -- Under PP Pass Yards of 216.5"
"Aaron Rodgers","QB","NYJ",38,24.6,254.7,1.6,1,1.2,6.8,0.1,0,0,0,15.9,15.9,""
"Matthew Stafford","QB","LAR",36.7,24,255.4,1.6,0.5,1.3,4.6,0.1,0,0,0,16.7,16.7,""
"Cooper Rush","QB","DAL",38.7,25.3,235.5,1.6,1,0.6,2.7,0.1,0,0,0,14.7,14.7,""
"Baker Mayfield","QB","TB",35.1,21.9,233.6,1.8,0.6,3.8,19.4,0.1,0,0,0,17.9,17.9,""
"Chuba Hubbard","RB","CAR",0,0,0,0,0,18.8,81.5,0.7,2.6,9.9,0.2,15.8,17.1," -- Over UD Rush Yards of 65.5 -- Over PP Rush Yards of: 67.5"
"James Conner","RB","ARI",0,0,0,0,0,16.3,78.7,0.7,2.7,22.6,0.2,16.9,18.2,""
"Josh Jacobs","RB","GB",0,0,0,0,0,19.3,82.3,1.1,2.5,19.7,0.2,19.3,20.5,""
"Kendre Miller","RB","NO",0,0,0,0,0,14.8,62.6,0.4,1.7,8.8,0.1,11,11.8,""
"D'Andre Swift","RB","CHI",0,0,0,0,0,12.8,48,0.6,2.3,21.3,0.1,12.3,13.4,""
"Jahmyr Gibbs","RB","DET",0,0,0,0,0,17.8,88,0.8,3.9,29.7,0.2,19.7,21.7,""
"Isiah Pacheco","RB","KC",0,0,0,0,0,12.8,57,0.3,2.2,15.7,0.1,10.8,11.9,""
"Joe Mixon","RB","HOU",0,0,0,0,0,18.1,71.4,0.9,2.4,20.7,0.2,17,18.2," -- Over UD Rush Yards of 60.5 -- Over PP Rush Yards of: 60.5"
"Jonathan Taylor","RB","IND",0,0,0,0,0,17.4,75.4,0.9,1,10.5,0.2,15.7,16.2,""
"Tony Pollard","RB","TEN",0,0,0,0,0,14.9,66,0.5,2.3,15,0.2,13.5,14.6,""
"De'Von Achane","RB","MIA",0,0,0,0,0,14.1,60.4,0.5,4.5,36.6,0.5,17.9,20.2," -- Over UD Rush Yards of 49.5"
"Isaac Guerendo","RB","SF",0,0,0,0,0,18.8,83.2,0.5,2.2,17.8,0.1,14.8,15.9," -- Over UD Rush Yards of 69.5 -- Over PP Rush Yards of: 70.5"
"James Cook","RB","BUF",0,0,0,0,0,13.8,70.3,0.9,1.7,15.6,0.2,16,16.9,""
"Rhamondre Stevenson","RB","NE",0,0,0,0,0,14,56.7,0.7,2.1,11.5,0.1,12.7,13.7," -- Over UD Rush Yards of 46.5"
"Zach Charbonnet","RB","SEA",0,0,0,0,0,16.8,70.8,0.9,2.9,21.2,0.2,17.3,18.7,""
"Aaron Jones","RB","MIN",0,0,0,0,0,14.3,68.5,0.4,2.6,22.1,0.2,14,15.3,""
"Derrick Henry","RB","BAL",0,0,0,0,0,18,84.7,1,0.8,7.1,0.2,16.8,17.2,""
