"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Travis Kelce","TE","KC","26.1","10.1","17.9","24.2","33.5","19.2","15.8","BYE","20.6","20.1","35.5","15.7","7.6","11.1","20.5","17.3","11.3","9.8","18.6","316.3"
"2","T.J. Hockenson","TE","MIN","7.8","5.6","10.8","39.9","1.6","-","8.8","11","16","11.5","8.4","15.3","7.3","11.7","8.3","35.9","12.9","2.6","12.7","215.4"
"3","George Kittle","TE","SF","-","-","6.8","4.4","7.7","16.3","21.8","12.9","BYE","3.1","24.4","5.6","4.2","6.8","25.3","30","12.3","18.9","13.4","200.5"
"4","Mark Andrews","TE","BAL","10.2","25.7","28.9","3.5","22.9","23.6","0.4","6.3","-","BYE","12.3","11","9.4","3.7","6.1","7.5","19","-","12.7","190.5"
"5","Evan Engram","TE","JAC","6.8","11.6","3.9","2.6","12.9","9","10.7","15.5","1.8","4.4","BYE","1.4","14","39.2","14.2","18.3","3.9","6.7","10.4","176.9"
"6","Tyler Higbee","TE","LAR","8.9","14.1","10.1","17.3","11.6","1.7","BYE","3.5","0","15.3","8.5","-","3.4","3.1","12.7","30.4","4.1","7.3","9.5","152"
"7","Pat Freiermuth","TE","PIT","12.5","12.2","6.1","15.5","3.2","-","15.5","9.7","BYE","7.6","15.9","6.9","10.6","12.3","-","13.6","6.6","0","9.9","148.2"
"8","Cole Kmet","TE","CHI","0","0","6","4.6","8.5","2.5","5.2","9.1","22","23.4","6.5","5.7","13.2","BYE","6.5","7.7","10.7","15.7","8.7","147.3"
"9","Taysom Hill","TE","NO","15.3","1.4","-","8.1","34.1","4.5","10.1","8.3","1.1","0.1","7.6","3","13.3","BYE","10.2","11.6","13.6","3.5","9.1","145.8"
"10","Dalton Schultz","TE","HOU","13.2","1.8","-","0","0","BYE","9.9","13.4","-","17.4","5.2","19.1","5.3","14.7","3.5","7.3","24.6","7.3","9.5","142.7"
"11","David Njoku","TE","CLE","1.7","6.2","23.9","9.7","14.8","8.8","14.1","-","BYE","-","3.7","13.9","-","18.7","5.8","3.4","3.1","14.2","10.1","142"
"12","Dallas Goedert","TE","PHI","9","13.2","11.6","12.2","17.5","4.2","BYE","12.4","24","9.3","-","-","-","-","-","9.7","7.5","10.6","11.8","141.2"
"13","Gerald Everett","TE","LAC","14.4","13.1","4.5","17.1","1.2","7.9","11.3","BYE","8.6","4.3","-","7.8","13","7.8","8.2","-","10.5","9.8","9.3","139.5"
"14","Dawson Knox","TE","BUF","1.5","8.1","6.5","7","-","12.7","BYE","9","5.5","9.7","14","3.7","0","14.1","21.8","12.8","-","9.3","9","135.7"
"15","Juwan Johnson","TE","NO","6.3","8","0","6.3","2.3","8.1","20.2","3.4","12.2","15.4","13.7","0","-","BYE","22.7","1.9","11.2","3.1","8.4","134.8"
"16","Tyler Conklin","TE","NYJ","11.6","10","16.4","8.2","0","2.7","6.2","25.9","1.7","BYE","3.5","8","2.9","7.8","1.9","7.4","14","3.3","7.7","131.5"
"17","Noah Fant","TE","SEA","4.6","3.1","6.7","7.2","7.9","10.5","1.7","3.9","14.6","6.4","BYE","6.4","14.2","0","14.2","9.2","6","6","7.2","122.6"
"18","Jordan Akins","TE","CLE","-","-","12.1","5.3","4.2","-","9.8","1.5","0","10.2","2.8","15.1","5.1","1.5","11.2","6.9","5.8","25","7.8","116.5"
"19","Zach Ertz","TE","FA","11.4","15.5","10.5","16.7","10.8","14","6.1","13.4","15","2.2","-","-","-","-","-","-","-","-","11.6","115.6"
"20","Robert Tonyan","TE","CHI","6.6","3.1","9.7","10.2","6.3","19","6.2","8.5","5.9","1.8","3.9","5","2","BYE","1.4","2.3","14.2","5.9","6.6","112"
"21","Hayden Hurst","TE","CAR","9.6","7.4","1.7","11.7","17.3","5.1","10.8","8.2","8.5","-","4.8","11.7","3.2","-","-","-","4.5","5.4","7.9","109.9"
"22","Hunter Henry","TE","NE","4","0","1.8","3.3","9.4","16.1","2.2","3.2","9","BYE","3","15.3","3.3","10","2.9","-","10.2","10.2","6.5","103.9"
"23","Mike Gesicki","TE","NE","1.1","14.1","1.6","4.3","4","24.9","5.7","12.8","1.3","5.1","-","0","0","0","1.5","3.4","9.8","8.6","5.8","98.2"
"24","Austin Hooper","TE","LV","1.6","2.9","3.9","1.4","1.7","BYE","8.6","1.5","5.4","9.1","19.6","6","5.2","11.8","5.3","4","1.6","7.8","5.7","97.4"
